,types,names,images,sources
0,Thẻ tín dụng,Visa Infinite,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_VisaInfinite_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Visa-Infinite.aspx
1,Thẻ tín dụng,JCB Ultimate,https://www.sacombank.com.vn/canhan/PagesDK/283/06.12.2018_JCB%20Ultimate_FA-01.png,https://www.sacombank.com.vn/canhan/Pages/JCB-Ultimate.aspx
2,Thẻ tín dụng,Visa Signature,https://www.sacombank.com.vn/canhan/PagesDK/283/Visa%20Credit%20Signature_contactless-01.png,https://www.sacombank.com.vn/canhan/Pages/Visa-Signature.aspx
3,Thẻ tín dụng,World Mastercard,https://www.sacombank.com.vn/canhan/PagesDK/283/MC%20world_contactless-01.png,https://www.sacombank.com.vn/canhan/Pages/World-Mastercard.aspx
4,Thẻ tín dụng,Visa Platinum,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_VisaCreditPlantinum_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Visa-Platinum.aspx
5,Thẻ tín dụng,Visa Platinum Cashback,https://www.sacombank.com.vn/canhan/PagesDK/283/Visa%20Credit%20Plantinum%20Cashback_contactless-01.png,https://www.sacombank.com.vn/canhan/Pages/Visa-Platinum-Cashback.aspx
6,Thẻ tín dụng,Sacombank Visa,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_VisaCreditClassic_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Visa.aspx
7,Thẻ tín dụng,Sacombank Mastercard,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_MCCreditGold_contactless-01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Mastercard.aspx
8,Thẻ tín dụng,Sacombank JCB,https://www.sacombank.com.vn/canhan/PagesDK/283/06.12.2018_JCB%20Classic%20credit_FA-01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-JCB.aspx
9,Thẻ tín dụng,Sacombank UnionPay,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_UnionPayCredit_01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-UnionPay.aspx
10,Thẻ tín dụng,Sacombank Napas (Easy Card),https://www.sacombank.com.vn/canhan/PagesDK/283/The-Napas-1.jpg,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Napas-Easy-Card.aspx
11,Thẻ tín dụng,Thẻ nội địa Napas (Family),https://www.sacombank.com.vn/canhan/PagesDK/283/The_noi_dia_Napas.png,https://www.sacombank.com.vn/canhan/Pages/The-noi-dia-Napas-Family.aspx
12,Thẻ tích hợp,Sacombank Mastercard Only One,https://www.sacombank.com.vn/canhan/PagesDK/60/Sacombank_Only%20One_320x509px.png,https://www.sacombank.com.vn/canhan/Pages/SACOMBANK-MASTERCARD-ONLY-ONE.aspx
13,Thẻ tích hợp,Sacombank Napas Combo Card,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_ComboCardNapas_320.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Napas-Combo-Card.aspx
14,Thẻ thanh toán,Visa Imperial Signature,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_Visa%20DebitSignature_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Visa-Imperial-Signature.aspx
15,Thẻ thanh toán,Sacombank JCB Platinum,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_JCBDebitPlatinum_avatar.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-JCB-Platinum.aspx
16,Thẻ thanh toán,Sacombank Visa Debit,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_VisaDebit_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-Visa-Debit.aspx
17,Thẻ thanh toán,Sacombank MasterCard,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_MCDebitGold_contactless_01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-MasterCard-1.aspx
18,Thẻ thanh toán,Sacombank UnionPay,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_UnionPayDebit_01.png,https://www.sacombank.com.vn/canhan/Pages/Sacombank-UnionPay-1.aspx
19,Thẻ thanh toán,Thẻ thanh toán nội địa Napas,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_TheThanhToanNoiDiaNapas_01.png,https://www.sacombank.com.vn/canhan/Pages/The-thanh-toan-noi-dia-Napas.aspx
20,Thẻ trả trước,Thẻ In Hình,https://www.sacombank.com.vn/canhan/PagesDK/60/Sacombank_TheInHinh_300x175px.jpg,https://www.sacombank.com.vn/canhan/Pages/The-In-Hinh.aspx
21,Thẻ trả trước,Visa All For You,https://www.sacombank.com.vn/canhan/PagesDK/60/Sacombank_VisaAllforYou300.png,https://www.sacombank.com.vn/canhan/Pages/Visa-All-For-You.aspx
22,Thẻ liên kết,Thẻ tín dụng Doanh nghiệp Sacombank FLC Platinum,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_FLCVisaSignature_Corporate.png,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-Doanh-nghiep-Sacombank-FLC-Platinum.aspx
23,Thẻ liên kết,Thẻ tín dụng Cá nhân Sacombank FLC Infinite,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_FLCVisaInfitnite_Personal.png,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-Ca-nhan-Sacombank-FLC-Infinite.aspx
24,Thẻ liên kết,Thẻ tín dụng quốc tế liên kết Sacombank Vietnam Airlines Visa,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_VisaSignature_Banner250.jpg,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-quoc-te-lien-ket-Sacombank-Vietnam-Airlines-Visa.aspx
25,Thẻ liên kết,Thẻ tín dụng quốc tế Sacombank Bamboo Airways Platinum,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_BambooAirwaysPlatinum_Thumnail.png,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-quoc-te-Sacombank-Bamboo-Airways-Platinum.aspx
26,Thẻ liên kết,Thẻ tín dụng liên kết Sacombank NextPay Napas,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_Nextpay1_700.png,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-lien-ket-Sacombank-NextPay-Napas.aspx
27,Thẻ liên kết,Thẻ tín dụng quốc tế liên kết Sacombank Tiki Platinum,https://www.sacombank.com.vn/canhan/PagesDK/283/Card-Tiki.png,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-quoc-te-lien-ket-Sacombank-Tiki-Platinum.aspx
28,Thẻ liên kết,Thẻ tín dụng quốc tế liên kết Sacombank CPA Australia Visa,https://www.sacombank.com.vn/canhan/PagesDK/283/Visa%20Gold_CPA.PNG,https://www.sacombank.com.vn/canhan/Pages/The-tin-dung-quoc-te-lien-ket-Sacombank-CPA-Australia-Visa.aspx
29,Thẻ liên kết,Thẻ SSC,https://www.sacombank.com.vn/canhan/PagesDK/283/SSC%20(Sacombank)_23Mar17%20(MT).jpg,https://www.sacombank.com.vn/canhan/Pages/The-SSC.aspx
30,Thẻ liên kết,Thẻ thanh toán Sacombank - HUTECH,https://www.sacombank.com.vn/canhan/PagesDK/283/Sacombank_Dai_Hoc_hutech.jpg,https://www.sacombank.com.vn/canhan/Pages/The-thanh-toan-Sacombank-HUTECH.aspx
31,Thẻ liên kết,Thẻ trả trước Sacombank – Vinamilk,https://www.sacombank.com.vn/canhan/PagesDK/283/Vinamilk%20card_10.04.2018_FA.PNG,https://www.sacombank.com.vn/canhan/Pages/The-tra-truoc-Sacombank-Vinamilk.aspx
